ID,AGE,EDUC,MARRIED,KIDS,LIFECL,OCCAT,RISK,HHOUSES,WSAVED,SPENDMOR,NWCAT,INCCL
127,4,1,1,0,6,3,4,0,2,4,1,2
128,4,4,1,1,6,3,3,1,3,5,5,5
129,1,2,1,0,2,1,4,0,3,3,1,1
130,4,4,1,0,5,2,2,1,3,3,5,5
131,5,4,1,0,5,1,3,1,3,3,5,5
132,4,3,2,2,5,2,4,1,2,4,4,1
133,2,4,2,0,1,1,2,1,3,1,2,4
134,3,4,1,0,2,3,4,1,3,5,5,5
135,6,1,1,0,6,3,4,1,2,4,2,2
136,6,4,1,0,6,3,2,1,3,3,5,5
137,1,1,1,0,2,1,4,0,1,2,2,2
138,1,1,1,0,2,1,4,0,1,2,2,3
139,1,2,2,0,1,1,4,0,2,3,1,3
140,1,1,1,0,2,1,3,0,3,4,1,3
141,3,1,1,0,2,3,4,0,2,4,1,1
142,6,4,2,0,5,2,4,1,3,2,5,5
143,4,2,2,0,5,1,4,0,2,3,1,2
144,5,4,1,0,5,2,4,1,2,1,5,5
145,3,1,1,1,3,1,3,0,3,5,2,4
146,3,3,1,1,3,2,3,1,3,5,5,5
147,1,4,1,0,2,1,1,1,3,2,3,5
148,5,2,2,0,6,3,2,1,2,3,3,3
149,3,3,1,0,2,1,4,1,3,4,2,3
150,3,4,1,2,3,1,4,0,3,3,1,4
151,3,4,1,1,3,1,3,1,3,5,5,5
152,5,2,1,0,6,3,3,1,3,4,3,3
153,3,4,1,2,3,1,2,1,1,2,5,4
154,2,4,1,0,2,2,3,1,3,5,3,5
155,2,4,1,3,3,2,3,1,3,3,5,5
156,1,3,2,0,1,1,3,0,3,1,1,3
157,1,3,1,3,3,1,4,1,2,5,3,4
158,1,3,1,3,3,1,4,1,2,5,3,3
159,2,2,2,2,4,1,1,1,3,2,3,3
160,3,4,1,2,3,1,3,1,3,5,4,5
161,2,4,1,3,3,2,2,1,3,4,5,5
162,4,4,1,0,5,2,3,1,3,2,5,5
163,3,4,2,0,1,1,2,1,3,4,4,5
164,5,4,1,0,6,3,2,1,3,5,5,5
165,2,3,2,0,1,1,3,0,2,5,2,3
166,6,1,1,1,6,3,4,1,2,3,5,3
167,6,2,1,1,6,3,4,1,2,3,5,3
168,6,4,1,1,6,3,3,1,2,3,5,3
169,6,4,2,0,5,3,3,1,3,3,5,5
170,6,1,1,0,6,3,4,1,3,5,5,5
171,4,2,2,0,5,1,4,1,2,5,3,3
172,3,2,2,1,4,3,3,1,1,5,3,4
173,3,2,2,1,4,3,3,1,1,5,4,4
174,2,2,1,1,3,1,3,1,3,4,3,5
175,5,4,1,0,6,3,3,1,1,3,5,5
176,1,2,1,1,3,1,2,0,3,3,2,3
177,6,2,2,0,6,3,4,1,2,3,3,3
178,4,4,2,0,5,2,3,1,3,3,5,5
179,3,3,1,2,3,1,2,1,1,4,3,5
180,3,4,1,3,3,1,2,1,3,1,4,5
181,4,1,1,0,6,3,3,1,3,4,5,5
182,4,2,1,0,5,2,2,1,2,1,5,5
183,5,1,1,0,6,3,2,1,2,3,2,3
184,3,4,1,2,3,1,3,1,2,4,4,5
185,5,2,2,0,5,1,3,0,2,2,4,4
186,4,4,2,1,5,1,3,1,2,2,4,4
187,5,3,1,0,5,1,3,1,2,5,4,4
188,5,3,1,0,5,1,3,1,2,5,4,3
189,5,3,1,0,5,1,3,1,2,5,5,3
190,1,4,1,1,3,1,4,1,3,2,3,4
191,6,1,2,0,6,3,4,1,2,5,2,2
192,2,3,1,0,2,1,3,1,3,4,3,4
193,1,2,2,0,1,4,3,1,3,4,1,3
194,2,3,2,0,1,1,4,1,2,5,1,2
195,3,4,1,1,3,1,3,1,3,4,4,5
196,4,3,1,0,5,2,3,1,3,5,5,5
197,3,4,1,4,3,2,3,1,1,5,5,5
198,4,4,1,0,5,1,3,1,3,4,2,5
199,4,2,1,0,5,4,4,1,3,5,3,3
200,4,3,2,1,5,2,2,1,2,5,4,4
201,4,3,2,1,5,2,2,1,2,5,3,4
202,4,3,2,0,6,3,2,1,2,4,2,3
203,4,4,1,0,5,1,2,1,3,4,4,5
204,4,2,1,0,5,1,4,0,3,5,1,3
205,4,2,1,0,5,1,4,0,3,5,1,4
206,3,4,1,0,2,1,2,1,3,5,4,5
207,3,4,1,0,2,1,2,1,3,5,3,5
208,3,4,2,1,4,1,3,1,3,2,4,5
209,6,4,2,0,6,3,3,1,3,5,4,3
210,4,2,1,1,5,4,4,0,3,5,2,2
211,4,2,1,1,5,4,4,0,3,5,1,2
212,6,1,2,0,6,3,4,1,1,4,3,2
213,4,4,1,1,5,2,2,1,1,5,4,5
214,5,1,1,0,6,3,3,1,2,4,4,3
215,5,2,2,1,6,3,4,1,2,5,2,1
216,3,4,1,2,3,1,2,1,3,2,5,5
217,2,4,1,2,3,2,1,1,1,2,5,5
218,1,3,2,0,1,4,2,0,3,3,1,2
219,4,4,1,0,6,3,2,1,3,1,5,5
220,1,4,2,0,1,1,4,1,3,2,1,2
221,1,4,2,0,1,1,4,1,3,2,2,2
222,3,4,1,3,3,2,3,1,3,5,5,5
223,4,1,1,2,5,4,4,1,1,2,2,2
224,1,4,1,0,2,1,2,1,2,3,2,5
225,1,3,1,2,3,1,3,1,3,5,3,4
226,3,3,2,0,1,1,3,0,3,1,3,4
227,3,3,2,0,1,1,3,0,3,1,4,4
228,3,3,2,0,1,1,3,1,2,4,3,5
229,2,3,1,1,3,2,3,1,3,5,5,5
230,4,3,2,1,6,3,3,1,3,5,4,5
231,3,1,2,1,4,3,4,0,2,2,1,2
232,2,3,2,2,4,1,2,0,3,4,2,2
233,5,4,1,0,5,1,3,1,3,4,4,5
234,4,4,1,1,6,3,4,1,1,5,3,2
235,3,4,1,3,3,1,3,1,3,5,4,5
236,4,2,1,1,5,1,3,1,2,4,5,4
237,4,4,1,0,6,3,3,1,2,5,4,3
238,2,3,2,0,1,1,3,0,3,2,1,3
239,1,4,1,1,3,1,4,1,3,4,2,4
240,2,4,1,2,3,2,3,1,3,2,5,5
241,2,3,2,1,4,1,2,0,3,2,1,3
242,2,3,2,1,4,1,2,0,3,2,1,4
243,2,4,2,1,4,1,2,0,3,2,1,4
244,2,4,2,1,4,1,2,0,3,2,1,3
245,6,1,1,0,6,3,4,0,3,5,1,2
246,3,4,1,1,3,2,3,1,3,2,5,5
247,2,4,1,0,2,1,2,1,3,3,3,5
248,2,4,1,0,2,1,2,1,3,3,3,4
249,2,4,1,0,2,1,2,1,3,3,4,4
250,2,1,1,2,3,1,4,0,3,4,2,3
251,2,3,2,2,4,1,3,1,3,5,5,5
252,6,2,2,0,6,3,4,0,2,3,3,3
253,4,4,1,0,5,1,4,1,3,4,5,5
254,5,2,1,0,6,3,4,1,2,5,3,3
255,1,3,1,0,2,1,4,1,3,5,2,3
256,5,3,2,0,6,3,4,1,3,4,5,4
257,1,4,1,2,3,1,2,1,3,4,3,4
258,6,4,1,0,5,2,4,1,3,3,5,5
259,1,2,1,3,3,3,4,0,2,3,1,5
260,5,1,2,0,6,3,4,0,1,5,1,2
261,1,1,2,1,4,4,4,0,3,2,1,1
262,4,4,1,0,6,3,3,1,3,3,4,4
263,4,4,1,0,6,3,3,1,3,3,4,3
264,5,4,1,0,6,3,2,1,3,4,5,3
265,6,1,2,0,6,3,4,0,2,5,1,1
266,6,4,1,0,6,3,3,1,3,2,5,5
267,1,3,1,2,3,2,2,1,3,4,3,4
268,1,3,1,2,3,1,2,1,1,4,3,5
269,4,4,1,3,5,1,3,0,1,1,1,4
270,4,4,1,3,5,1,3,0,1,1,2,3
271,4,4,1,3,5,1,3,0,1,1,1,3
272,6,2,2,0,6,3,4,0,2,2,1,2
273,3,4,1,1,3,1,2,1,3,3,4,4
274,3,4,1,1,3,1,2,1,3,3,4,5
275,5,2,2,2,6,3,4,1,3,2,3,1
276,2,2,1,3,3,1,3,1,3,4,3,4
277,6,4,1,0,5,2,1,1,3,5,5,5
278,5,1,1,0,5,2,4,1,3,3,3,5
279,3,2,1,1,3,1,3,1,3,2,3,4
280,2,4,2,0,1,1,2,1,1,3,2,4
281,4,4,2,0,5,2,2,1,3,2,5,5
282,3,4,2,0,1,1,3,1,1,5,2,3
283,5,2,1,0,5,2,3,1,3,4,5,3
284,3,4,1,2,3,1,3,1,3,5,5,5
285,3,4,1,2,3,1,1,1,3,5,5,5
286,3,4,1,2,3,1,2,1,3,5,5,5
287,4,4,1,2,5,1,3,1,3,5,4,4
288,4,4,1,2,5,1,3,1,3,5,5,4
289,4,4,1,0,6,3,3,1,2,4,5,5
290,5,4,1,0,5,2,1,1,3,1,5,5
291,2,4,1,3,3,1,3,1,3,5,2,4
292,2,4,1,2,3,1,2,1,3,4,4,5
293,3,3,1,1,3,1,4,1,2,4,2,4
294,4,4,2,0,5,1,4,1,3,5,3,3
295,3,4,2,0,1,1,4,1,3,3,2,4
296,1,2,2,1,4,1,3,0,2,3,1,2
297,3,2,1,2,3,3,4,1,2,1,2,3
298,3,2,1,1,3,1,4,1,3,4,2,4
299,4,4,1,0,5,2,3,1,3,5,5,5
300,4,4,2,1,6,1,3,1,3,5,3,3
301,3,2,1,2,3,2,3,1,3,4,4,4
302,1,4,1,0,2,1,3,0,2,4,1,3
303,3,3,2,4,4,1,2,0,1,5,1,1
304,3,3,2,4,4,1,2,0,1,5,1,2
305,5,3,1,0,6,3,3,1,3,5,5,5
306,4,4,1,2,5,1,3,1,3,5,5,5
307,2,2,1,1,3,2,3,1,3,4,5,4
308,3,4,1,1,3,1,3,1,3,2,5,5
309,3,3,1,1,3,1,2,1,3,5,5,5
310,1,3,1,0,2,1,1,0,2,4,1,2
311,1,3,1,0,2,1,1,0,2,4,1,3
312,1,2,1,2,3,1,3,1,3,3,2,3
313,6,3,1,0,6,3,3,1,2,2,5,4
314,1,3,2,0,1,1,4,0,2,2,1,2
315,5,4,1,0,5,2,2,1,3,5,5,5
316,3,4,2,0,1,1,3,1,2,3,3,3
317,2,3,1,2,3,1,3,1,3,2,2,4
318,4,4,1,0,5,1,2,1,3,4,3,5
319,6,2,1,0,6,3,3,1,3,5,4,3
320,6,2,1,0,6,3,3,1,3,5,3,3
321,2,2,2,0,1,2,3,0,1,2,1,5
322,2,4,1,2,3,1,3,1,1,4,3,2
323,2,4,1,2,3,1,3,1,1,4,2,2
324,4,4,1,0,5,1,3,1,3,5,4,4
325,4,4,1,0,5,1,3,1,3,5,4,5
326,2,4,1,0,2,2,3,1,3,5,5,5
327,1,4,2,0,1,1,2,0,3,3,1,3
328,3,4,1,4,3,2,3,1,3,1,5,5
329,2,4,1,1,3,1,3,1,3,4,3,4
330,2,1,2,0,1,3,4,0,2,5,1,2
331,3,1,1,0,2,1,4,0,3,5,2,4
332,1,2,2,1,4,1,3,0,3,4,1,2
333,4,4,1,0,5,1,1,1,3,5,5,5
334,1,4,2,0,1,1,3,0,3,5,4,2
335,1,4,2,0,1,1,3,0,3,5,4,3
336,4,4,1,0,5,2,3,1,2,2,5,5
337,3,4,1,0,2,1,2,1,3,2,5,5
338,1,4,2,1,4,1,4,0,2,4,1,3
339,3,4,1,0,2,2,3,1,3,4,4,3
340,4,2,2,0,5,2,3,1,1,4,5,3
341,4,2,2,0,5,2,3,1,1,4,4,3
342,3,4,2,0,1,1,3,1,3,5,5,5
343,1,1,1,1,3,1,2,0,3,4,1,3
344,4,4,2,0,5,1,3,0,3,5,2,3
345,5,3,2,2,5,1,4,1,2,5,4,4
346,4,4,1,0,6,3,2,1,3,4,5,5
347,6,2,2,0,6,3,4,1,2,4,3,3
348,3,4,1,2,3,1,2,1,3,4,4,4
349,3,4,1,3,3,1,3,1,1,1,5,5
350,2,2,1,2,3,1,4,1,2,3,2,5
351,2,2,1,2,3,1,4,1,2,3,3,5
352,1,1,1,0,2,1,2,0,3,2,1,3
353,5,2,1,1,6,3,3,1,1,5,2,3
354,1,4,1,0,2,1,3,1,3,4,2,4
355,4,4,2,0,5,1,2,1,3,5,4,4
356,2,2,2,0,1,1,4,0,2,2,1,1
357,2,4,1,1,3,1,2,1,3,4,5,5
358,4,4,1,0,6,3,4,1,3,5,5,5
359,5,4,1,1,5,2,2,1,3,3,5,5
360,2,4,1,2,3,1,3,1,3,2,4,5
361,3,4,1,4,3,2,2,1,3,4,5,5
362,6,4,1,2,6,3,3,1,3,4,5,4
363,6,4,1,2,6,3,3,1,3,4,5,5
364,2,2,2,0,1,1,4,1,3,4,2,4
365,2,3,2,0,1,1,2,1,1,5,2,4
366,3,2,1,4,3,1,3,1,3,4,5,5
367,4,2,2,0,6,3,4,1,3,3,2,2
368,2,4,2,1,4,1,3,0,3,4,1,3
369,3,2,1,2,3,1,4,1,3,4,2,5
370,3,2,1,2,3,1,4,1,3,4,2,4
371,3,2,1,3,3,1,4,1,2,3,4,3
372,1,3,2,0,1,1,4,0,2,4,1,2
373,5,4,1,0,5,2,2,1,3,2,5,5
374,2,4,1,0,2,1,3,1,3,1,4,5
375,2,3,2,3,4,1,2,1,3,4,3,4
376,4,2,2,0,6,3,3,1,3,4,3,3
377,3,2,2,1,4,3,4,0,2,2,1,2
378,1,4,1,2,3,1,3,0,3,5,4,5
379,3,4,1,0,2,1,2,1,1,5,2,5
380,2,2,2,2,4,1,4,0,2,2,1,2
381,3,2,2,2,4,1,1,1,2,1,2,3
382,2,4,1,3,3,2,3,1,3,4,5,5
383,2,2,1,2,3,1,3,1,3,2,3,5
384,1,4,2,1,4,2,3,1,3,3,5,5
385,1,4,1,1,3,1,3,1,3,4,2,4
386,4,3,1,0,5,2,3,1,3,3,5,5
387,2,4,1,3,3,1,2,1,3,5,4,5
388,5,4,1,0,5,2,3,1,3,5,5,5
389,2,3,2,2,4,1,2,1,1,2,3,3
390,4,4,1,0,5,1,3,1,1,2,4,5
391,3,4,1,0,2,2,2,1,3,2,5,5
392,1,1,2,2,4,3,4,0,2,5,1,1
393,1,3,1,2,3,2,3,0,2,1,1,3
394,3,4,1,3,3,2,1,1,3,1,5,5
395,3,4,1,1,3,1,3,1,2,4,3,4
396,4,4,1,0,5,1,2,1,3,2,5,5
397,4,4,1,0,5,4,3,1,3,5,3,5
398,6,3,2,0,6,3,4,1,1,5,2,3
399,6,3,2,0,6,3,4,1,1,5,2,2
400,6,3,2,0,6,3,4,1,1,5,3,3
401,2,1,1,1,3,1,4,1,1,4,1,1
402,4,4,1,0,5,2,2,1,3,4,5,5
403,2,3,2,0,1,1,2,1,3,4,1,3
404,2,3,2,0,1,1,2,1,3,4,2,3
405,6,4,2,0,6,3,3,1,2,2,2,4
406,6,4,2,0,6,3,3,1,2,2,2,3
407,1,3,2,1,4,4,4,0,1,5,1,1
408,4,1,2,1,5,4,4,0,3,4,1,1
409,4,1,2,1,5,4,4,0,3,4,1,2
410,5,4,1,0,5,2,2,1,3,3,5,5
411,6,2,2,0,5,2,3,0,3,5,1,2
412,5,4,1,0,5,1,2,1,3,1,5,5
413,4,4,2,0,5,1,3,1,3,2,5,5
414,4,4,1,0,5,1,3,1,3,2,5,5
415,4,4,1,1,6,3,2,1,3,4,5,5
416,3,4,1,1,3,1,2,1,3,2,3,5
417,3,4,1,1,3,1,2,1,3,2,2,5
418,1,3,1,1,3,4,3,0,3,5,2,3
419,6,1,2,0,6,3,4,0,3,5,3,3
420,2,3,1,2,3,1,3,1,2,5,3,5
421,1,4,2,0,1,1,3,0,3,4,1,3
422,1,1,1,1,3,1,4,0,1,3,1,3
423,3,2,2,0,1,1,4,1,2,5,3,3
424,3,3,2,0,1,4,3,1,3,4,5,5
425,4,4,2,0,5,2,2,1,1,3,5,4
426,4,4,2,0,5,2,2,1,1,3,5,5
427,4,3,1,2,5,1,3,0,2,5,1,3
428,4,2,1,0,5,1,4,1,1,2,3,4
429,6,2,2,0,6,3,3,0,3,5,2,2
430,6,2,2,0,6,3,3,0,3,5,2,3
431,1,2,1,1,3,1,3,0,3,1,1,3
432,3,4,1,3,3,1,3,1,3,3,5,5
433,3,2,1,1,3,1,3,1,1,2,3,4
434,3,2,1,1,3,1,3,1,1,2,4,4
435,2,2,1,4,3,4,4,0,3,5,1,4
436,2,2,1,4,3,4,4,0,3,5,1,3
437,2,2,1,0,2,1,4,1,3,4,2,4
438,5,1,1,1,6,3,3,1,2,5,2,4
439,4,4,1,0,5,1,3,1,3,4,5,5
440,4,4,1,0,5,1,3,0,2,4,4,5
441,1,2,1,4,3,1,4,0,3,5,1,4
442,1,2,1,4,3,1,4,0,3,5,1,2
443,1,2,1,4,3,1,4,0,3,5,1,3
444,4,3,1,0,6,3,4,1,1,5,4,5
445,4,4,1,0,5,2,3,1,3,1,5,5
446,6,4,2,0,6,3,2,1,3,4,5,5
447,4,4,1,2,5,1,2,1,3,4,5,5
448,3,1,1,2,3,1,3,1,2,3,3,4
449,5,2,1,0,6,3,3,1,2,3,5,3
450,5,2,1,0,6,3,3,1,2,3,4,4
451,5,2,1,0,6,3,3,1,2,3,4,3
452,3,4,1,2,3,1,3,1,3,4,5,5
453,1,2,1,3,3,1,3,1,3,5,2,4
454,1,3,1,4,3,4,3,0,3,4,1,2
455,1,3,1,4,3,4,3,0,3,4,2,2
456,5,4,1,0,5,1,2,1,3,5,5,5
457,5,4,1,0,6,3,3,1,3,4,5,5
458,2,2,1,2,3,2,3,1,3,4,5,4
459,4,4,1,0,6,3,2,1,3,3,5,5
460,3,4,1,3,3,2,2,1,3,2,5,5
461,4,2,1,0,6,3,4,1,3,5,3,2
462,2,3,2,4,4,1,3,0,2,4,1,3
463,4,3,1,0,5,4,2,1,1,5,3,1
464,6,1,1,0,6,3,4,0,1,3,1,2
465,1,3,2,0,1,1,3,0,3,4,1,2
466,1,3,2,0,1,1,3,0,3,4,1,3
467,2,4,1,1,3,1,3,1,1,1,2,4
468,1,2,2,2,4,3,4,0,2,1,1,1
469,2,4,1,0,2,1,2,0,3,2,3,4
470,2,2,1,1,3,1,3,1,3,5,2,4
471,4,4,1,2,5,1,2,1,3,4,4,5
472,4,1,2,1,5,1,4,1,2,2,2,2
473,4,2,2,0,6,3,4,0,3,4,1,2
474,3,4,1,2,3,1,4,1,3,4,4,4
475,3,4,1,1,3,2,1,1,3,1,5,5
476,3,4,2,0,1,2,3,1,3,1,5,4
477,3,4,2,0,1,1,3,1,3,5,4,3
478,6,2,2,0,6,3,2,0,1,3,4,4
479,4,2,1,0,6,3,4,1,3,5,3,3
480,4,2,1,0,6,3,4,1,3,5,2,3
481,2,4,1,0,2,1,3,1,2,5,3,4
482,2,3,2,0,1,4,4,0,2,2,1,2
483,2,3,2,0,1,2,4,1,2,2,2,2
484,2,3,2,0,1,2,4,1,2,2,2,3
485,1,4,2,0,1,1,3,0,2,3,1,2
486,1,4,2,0,1,1,3,0,2,3,1,3
487,5,4,1,0,6,3,3,1,1,4,5,5
488,3,4,2,0,1,1,4,0,3,5,1,4
489,5,4,1,1,6,3,4,1,3,5,5,4
490,1,4,1,0,2,1,4,0,2,3,1,3
491,1,2,1,4,3,1,3,1,1,5,2,3
492,1,2,1,4,3,1,3,1,1,5,2,2
493,4,4,1,0,5,2,2,1,3,5,5,5
494,5,4,1,0,5,1,3,1,3,4,5,5
495,5,1,2,0,6,3,4,0,2,5,1,1
496,3,2,1,0,2,2,2,1,3,5,2,5
497,4,4,2,3,6,4,3,1,3,3,5,5
498,3,4,1,2,3,1,3,1,3,4,4,5
499,3,4,1,0,2,1,3,1,3,5,5,5
500,4,1,2,2,6,3,4,0,2,3,1,1
501,6,2,2,0,6,3,1,1,3,1,5,5
502,3,4,1,4,3,2,2,1,3,2,5,5
503,4,4,1,0,5,2,1,1,3,2,5,5
504,1,2,1,0,2,1,4,0,3,2,1,4
505,3,4,1,0,2,2,3,1,3,4,5,5
506,4,4,2,0,6,3,2,0,3,5,2,4
507,6,1,2,0,6,3,4,1,3,5,2,2
508,5,2,1,0,6,3,4,1,3,5,2,2
509,3,3,1,1,3,1,3,1,1,2,4,5
510,3,1,2,3,4,1,4,0,2,2,1,2
511,3,3,2,0,1,1,2,0,1,5,2,2
512,2,4,2,1,4,1,2,1,2,4,3,4
513,3,1,1,0,2,1,4,1,1,4,1,2
514,2,2,1,2,3,2,3,1,3,4,4,4
515,3,4,1,2,3,2,3,1,1,4,3,4
516,3,4,1,2,3,2,3,1,1,4,3,5
517,4,4,1,0,5,2,2,1,3,1,5,5
518,3,4,1,0,2,1,4,1,2,2,5,5
519,3,4,1,1,3,2,1,1,1,2,5,4
520,1,2,2,0,1,1,1,0,2,2,2,4
521,1,2,1,2,3,1,4,1,3,1,1,3
522,4,4,1,0,6,3,3,1,3,5,5,5
523,2,1,1,2,3,1,4,1,2,5,2,2
524,2,4,1,5,3,2,3,1,3,2,5,5
525,2,4,1,0,2,1,2,1,3,4,4,5
526,4,1,2,0,6,3,4,0,2,4,1,1
527,3,3,2,0,1,1,4,1,2,4,3,3
528,3,3,2,0,1,1,4,1,2,4,2,3
529,5,4,1,0,5,2,3,1,3,3,5,5
530,5,2,2,0,6,3,4,1,3,4,3,2
531,4,2,1,0,5,1,2,1,3,4,5,5
532,6,2,1,0,6,3,1,1,3,2,5,5
533,1,2,1,1,3,1,3,1,2,3,2,3
