"OrderID","OrderDate","BookID","Quantity","Price"
109,2005/1/1 00:00:00,97,9,700.00
110,2005/1/1 00:00:00,96,5,660.00
111,2005/1/1 00:00:00,91,7,380.00
112,2005/1/1 00:00:00,4,6,430.00
113,2005/1/1 00:00:00,88,9,620.00
114,2005/1/1 00:00:00,31,10,560.00
115,2005/1/1 00:00:00,44,1,540.00
116,2005/1/1 00:00:00,62,1,400.00
117,2005/1/1 00:00:00,1,7,610.00
118,2005/1/1 00:00:00,14,10,670.00
119,2005/1/1 00:00:00,19,7,590.00
120,2005/1/1 00:00:00,45,6,300.00
121,2005/1/1 00:00:00,52,3,640.00
122,2005/1/1 00:00:00,14,4,670.00
123,2005/1/1 00:00:00,28,1,660.00
124,2005/1/1 00:00:00,8,7,580.00
125,2005/1/1 00:00:00,19,1,590.00
126,2005/1/1 00:00:00,42,2,320.00
127,2005/1/1 00:00:00,72,8,350.00
128,2005/1/1 00:00:00,60,6,570.00
129,2005/1/1 00:00:00,65,7,470.00
130,2005/1/1 00:00:00,76,5,380.00
131,2005/1/1 00:00:00,68,8,590.00
132,2005/1/1 00:00:00,93,7,540.00
133,2005/1/1 00:00:00,99,9,530.00
134,2005/1/1 00:00:00,81,8,390.00
135,2005/1/1 00:00:00,87,6,620.00
136,2005/1/1 00:00:00,20,7,530.00
137,2005/1/1 00:00:00,4,10,430.00
138,2005/1/1 00:00:00,95,8,550.00
139,2005/1/1 00:00:00,1,6,610.00
140,2005/1/1 00:00:00,75,4,600.00
141,2005/1/1 00:00:00,80,9,330.00
142,2005/1/1 00:00:00,53,3,670.00
143,2005/1/1 00:00:00,90,4,500.00
144,2005/1/1 00:00:00,1,1,610.00
145,2005/1/1 00:00:00,53,8,670.00
146,2005/1/1 00:00:00,78,1,570.00
147,2005/1/1 00:00:00,97,2,700.00
148,2005/1/1 00:00:00,7,5,440.00
149,2005/1/1 00:00:00,65,6,470.00
150,2005/1/1 00:00:00,63,2,330.00
151,2005/1/1 00:00:00,78,4,570.00
152,2005/1/1 00:00:00,19,9,590.00
153,2005/1/1 00:00:00,24,6,650.00
154,2005/1/1 00:00:00,78,8,570.00
155,2005/1/1 00:00:00,54,5,490.00
156,2005/1/1 00:00:00,61,10,590.00
157,2005/1/1 00:00:00,91,2,380.00
158,2005/1/1 00:00:00,92,5,440.00
159,2005/1/1 00:00:00,98,8,690.00
160,2005/1/1 00:00:00,51,9,440.00
161,2005/1/1 00:00:00,16,8,600.00
162,2005/1/1 00:00:00,53,6,670.00
163,2005/1/1 00:00:00,84,4,520.00
164,2005/1/1 00:00:00,12,2,600.00
165,2005/1/1 00:00:00,55,10,670.00
166,2005/1/1 00:00:00,52,9,640.00
167,2005/1/1 00:00:00,41,2,400.00
168,2005/1/1 00:00:00,70,3,440.00
169,2005/1/1 00:00:00,82,4,360.00
170,2005/1/1 00:00:00,42,2,320.00
171,2005/1/1 00:00:00,3,7,400.00
172,2005/1/1 00:00:00,68,10,590.00
173,2005/1/1 00:00:00,28,5,660.00
174,2005/1/1 00:00:00,9,2,550.00
175,2005/1/1 00:00:00,59,5,450.00
176,2005/1/1 00:00:00,70,2,440.00
177,2005/1/1 00:00:00,9,8,550.00
178,2005/1/1 00:00:00,25,6,670.00
179,2005/1/1 00:00:00,82,2,360.00
180,2005/1/1 00:00:00,3,8,400.00
181,2005/1/1 00:00:00,59,9,450.00
182,2005/1/1 00:00:00,38,2,580.00
183,2005/1/1 00:00:00,4,9,430.00
184,2005/1/1 00:00:00,2,4,550.00
185,2005/1/1 00:00:00,16,2,600.00
186,2005/1/1 00:00:00,80,10,330.00
187,2005/1/1 00:00:00,40,3,670.00
188,2005/1/1 00:00:00,69,4,670.00
189,2005/1/1 00:00:00,7,7,440.00
190,2005/1/1 00:00:00,78,10,570.00
191,2005/1/1 00:00:00,44,5,540.00
192,2005/1/1 00:00:00,79,7,640.00
193,2005/1/1 00:00:00,2,4,550.00
194,2005/1/1 00:00:00,66,8,660.00
195,2005/1/1 00:00:00,63,4,330.00
196,2005/1/1 00:00:00,84,6,520.00
197,2005/1/1 00:00:00,76,2,380.00
198,2005/1/1 00:00:00,81,3,390.00
199,2005/1/1 00:00:00,61,2,590.00
200,2005/1/1 00:00:00,47,10,580.00
201,2005/1/1 00:00:00,46,3,350.00
202,2005/1/1 00:00:00,94,3,690.00
203,2005/1/1 00:00:00,17,8,410.00
204,2005/1/1 00:00:00,11,8,460.00
205,2005/1/1 00:00:00,10,8,630.00
206,2005/1/1 00:00:00,60,3,570.00
207,2005/1/1 00:00:00,78,1,570.00
208,2005/1/1 00:00:00,20,10,530.00
209,2005/1/1 00:00:00,66,2,660.00
210,2005/1/1 00:00:00,75,3,600.00
211,2005/1/1 00:00:00,70,4,440.00
212,2005/1/1 00:00:00,48,7,590.00
213,2005/1/1 00:00:00,65,1,470.00
214,2005/1/1 00:00:00,70,5,440.00
215,2005/1/1 00:00:00,100,10,520.00
216,2005/1/1 00:00:00,49,10,640.00
217,2005/1/1 00:00:00,100,3,520.00
218,2005/1/1 00:00:00,36,2,380.00
219,2005/1/1 00:00:00,77,6,650.00
220,2005/1/1 00:00:00,81,7,390.00
221,2005/1/1 00:00:00,30,2,380.00
222,2005/1/1 00:00:00,3,6,400.00
223,2005/1/1 00:00:00,82,9,360.00
224,2005/1/1 00:00:00,1,5,610.00
225,2005/1/1 00:00:00,70,2,440.00
226,2005/1/1 00:00:00,5,5,340.00
227,2005/1/1 00:00:00,62,4,400.00
228,2005/1/1 00:00:00,84,9,520.00
229,2005/1/1 00:00:00,63,2,330.00
230,2005/1/1 00:00:00,30,5,380.00
231,2005/1/1 00:00:00,28,7,660.00
232,2005/1/1 00:00:00,67,8,440.00
233,2005/1/1 00:00:00,54,7,490.00
234,2005/1/1 00:00:00,45,10,300.00
235,2005/1/1 00:00:00,29,1,390.00
236,2005/1/1 00:00:00,32,4,660.00
237,2005/1/1 00:00:00,68,1,590.00
238,2005/1/1 00:00:00,43,2,550.00
239,2005/1/1 00:00:00,72,6,350.00
240,2005/1/1 00:00:00,3,6,400.00
241,2005/1/1 00:00:00,18,4,680.00
242,2005/1/1 00:00:00,95,10,550.00
243,2005/1/1 00:00:00,35,2,350.00
244,2005/1/1 00:00:00,50,8,400.00
245,2005/1/1 00:00:00,83,7,490.00
246,2005/1/1 00:00:00,95,6,550.00
247,2005/1/1 00:00:00,31,1,560.00
248,2005/1/1 00:00:00,94,6,690.00
249,2005/1/1 00:00:00,86,2,360.00
250,2005/1/1 00:00:00,19,5,590.00
251,2005/1/1 00:00:00,67,4,440.00
252,2005/1/1 00:00:00,100,8,520.00
253,2005/1/1 00:00:00,33,8,590.00
254,2005/1/1 00:00:00,52,1,640.00
255,2005/1/1 00:00:00,34,7,410.00
256,2005/1/1 00:00:00,32,8,660.00
257,2005/1/1 00:00:00,32,1,660.00
258,2005/1/1 00:00:00,50,4,400.00
259,2005/1/1 00:00:00,40,10,670.00
260,2005/1/1 00:00:00,4,10,430.00
261,2005/1/1 00:00:00,76,7,380.00
262,2005/1/1 00:00:00,91,2,380.00
263,2005/1/1 00:00:00,90,6,500.00
264,2005/1/1 00:00:00,59,4,450.00
265,2005/1/1 00:00:00,10,8,630.00
266,2005/1/1 00:00:00,75,4,600.00
267,2005/1/1 00:00:00,46,2,350.00
268,2005/1/1 00:00:00,20,3,530.00
269,2005/1/1 00:00:00,3,6,400.00
270,2005/1/1 00:00:00,69,3,670.00
271,2005/1/1 00:00:00,12,4,600.00
272,2005/1/1 00:00:00,86,1,360.00
273,2005/1/1 00:00:00,66,10,660.00
274,2005/1/1 00:00:00,60,6,570.00
275,2005/1/1 00:00:00,80,2,330.00
276,2005/1/1 00:00:00,75,6,600.00
277,2005/1/1 00:00:00,14,3,670.00
278,2005/1/1 00:00:00,46,9,350.00
279,2005/1/1 00:00:00,5,7,340.00
280,2005/1/1 00:00:00,67,1,440.00
281,2005/1/1 00:00:00,5,4,340.00
282,2005/1/1 00:00:00,7,6,440.00
283,2005/1/1 00:00:00,62,2,400.00
284,2005/1/1 00:00:00,23,5,320.00
285,2005/1/1 00:00:00,73,8,360.00
286,2005/1/1 00:00:00,2,4,550.00
287,2005/1/1 00:00:00,37,7,360.00
288,2005/1/1 00:00:00,67,1,440.00
289,2005/1/1 00:00:00,92,10,440.00
290,2005/1/1 00:00:00,35,5,350.00
291,2005/1/1 00:00:00,78,10,570.00
292,2005/1/1 00:00:00,28,2,660.00
293,2005/1/1 00:00:00,62,8,400.00
294,2005/1/1 00:00:00,75,5,600.00
295,2005/1/1 00:00:00,49,2,640.00
296,2005/1/1 00:00:00,98,2,690.00
297,2005/1/1 00:00:00,48,4,590.00
298,2005/1/1 00:00:00,65,2,470.00
299,2005/1/1 00:00:00,43,8,550.00
300,2005/1/1 00:00:00,40,1,670.00
301,2005/1/1 00:00:00,92,8,440.00
302,2005/1/1 00:00:00,30,6,380.00
303,2005/1/1 00:00:00,22,6,530.00
304,2005/1/1 00:00:00,9,2,550.00
305,2005/1/1 00:00:00,55,3,670.00
306,2005/1/1 00:00:00,22,7,530.00
307,2005/1/1 00:00:00,95,10,550.00
308,2005/1/1 00:00:00,38,3,580.00
309,2005/1/1 00:00:00,66,4,660.00
310,2005/1/1 00:00:00,52,8,640.00
311,2005/1/2 00:00:00,59,8,450.00
312,2005/1/2 00:00:00,86,3,360.00
313,2005/1/2 00:00:00,31,7,560.00
314,2005/1/2 00:00:00,73,6,360.00
315,2005/1/2 00:00:00,3,10,400.00
316,2005/1/2 00:00:00,10,1,630.00
317,2005/1/2 00:00:00,61,2,590.00
318,2005/1/2 00:00:00,81,3,390.00
319,2005/1/2 00:00:00,28,10,660.00
320,2005/1/2 00:00:00,5,3,340.00
321,2005/1/2 00:00:00,55,8,670.00
322,2005/1/2 00:00:00,22,3,530.00
323,2005/1/2 00:00:00,13,8,700.00
324,2005/1/2 00:00:00,93,10,540.00
325,2005/1/2 00:00:00,57,1,670.00
326,2005/1/2 00:00:00,12,1,600.00
327,2005/1/2 00:00:00,48,1,590.00
328,2005/1/2 00:00:00,65,9,470.00
329,2005/1/2 00:00:00,55,10,670.00
330,2005/1/2 00:00:00,1,3,610.00
331,2005/1/2 00:00:00,88,7,620.00
332,2005/1/2 00:00:00,47,7,580.00
333,2005/1/2 00:00:00,64,2,550.00
334,2005/1/2 00:00:00,79,4,640.00
335,2005/1/2 00:00:00,10,4,630.00
336,2005/1/2 00:00:00,69,7,670.00
337,2005/1/2 00:00:00,79,10,640.00
338,2005/1/2 00:00:00,56,5,480.00
339,2005/1/2 00:00:00,59,6,450.00
340,2005/1/2 00:00:00,54,4,490.00
341,2005/1/2 00:00:00,28,5,660.00
342,2005/1/2 00:00:00,39,1,570.00
343,2005/1/2 00:00:00,95,10,550.00
344,2005/1/2 00:00:00,45,2,300.00
345,2005/1/2 00:00:00,38,9,580.00
346,2005/1/2 00:00:00,3,1,400.00
347,2005/1/2 00:00:00,89,2,460.00
348,2005/1/2 00:00:00,90,1,500.00
349,2005/1/2 00:00:00,21,5,490.00
350,2005/1/2 00:00:00,6,2,320.00
351,2005/1/2 00:00:00,7,2,440.00
352,2005/1/2 00:00:00,17,10,410.00
353,2005/1/2 00:00:00,68,6,590.00
354,2005/1/2 00:00:00,37,9,360.00
355,2005/1/2 00:00:00,34,1,410.00
356,2005/1/2 00:00:00,52,8,640.00
357,2005/1/2 00:00:00,89,4,460.00
358,2005/1/2 00:00:00,30,2,380.00
359,2005/1/2 00:00:00,15,1,420.00
360,2005/1/2 00:00:00,63,7,330.00
361,2005/1/2 00:00:00,42,1,320.00
362,2005/1/2 00:00:00,61,10,590.00
363,2005/1/2 00:00:00,44,5,540.00
364,2005/1/2 00:00:00,29,2,390.00
365,2005/1/2 00:00:00,10,7,630.00
366,2005/1/2 00:00:00,57,5,670.00
367,2005/1/2 00:00:00,90,3,500.00
368,2005/1/2 00:00:00,56,2,480.00
369,2005/1/2 00:00:00,56,10,480.00
370,2005/1/2 00:00:00,26,5,360.00
371,2005/1/2 00:00:00,13,6,700.00
372,2005/1/2 00:00:00,81,10,390.00
373,2005/1/2 00:00:00,39,5,570.00
374,2005/1/2 00:00:00,44,8,540.00
375,2005/1/2 00:00:00,95,4,550.00
376,2005/1/2 00:00:00,58,1,520.00
377,2005/1/2 00:00:00,50,1,400.00
378,2005/1/2 00:00:00,86,7,360.00
379,2005/1/2 00:00:00,93,2,540.00
380,2005/1/2 00:00:00,100,10,520.00
381,2005/1/2 00:00:00,84,9,520.00
382,2005/1/2 00:00:00,32,6,660.00
383,2005/1/2 00:00:00,10,9,630.00
384,2005/1/2 00:00:00,88,4,620.00
385,2005/1/2 00:00:00,52,3,640.00
386,2005/1/2 00:00:00,97,5,700.00
387,2005/1/2 00:00:00,26,1,360.00
388,2005/1/2 00:00:00,86,2,360.00
389,2005/1/2 00:00:00,91,3,380.00
390,2005/1/2 00:00:00,44,7,540.00
391,2005/1/2 00:00:00,20,2,530.00
392,2005/1/2 00:00:00,58,3,520.00
393,2005/1/2 00:00:00,41,3,400.00
394,2005/1/2 00:00:00,12,5,600.00
395,2005/1/2 00:00:00,24,8,650.00
396,2005/1/2 00:00:00,83,9,490.00
397,2005/1/2 00:00:00,89,10,460.00
398,2005/1/2 00:00:00,95,7,550.00
399,2005/1/2 00:00:00,57,3,670.00
400,2005/1/2 00:00:00,66,7,660.00
401,2005/1/2 00:00:00,41,10,400.00
402,2005/1/2 00:00:00,45,8,300.00
403,2005/1/2 00:00:00,61,3,590.00
404,2005/1/2 00:00:00,40,4,670.00
405,2005/1/2 00:00:00,86,8,360.00
406,2005/1/2 00:00:00,15,6,420.00
407,2005/1/2 00:00:00,61,2,590.00
408,2005/1/2 00:00:00,33,9,590.00
409,2005/1/2 00:00:00,1,7,610.00
410,2005/1/2 00:00:00,17,7,410.00
411,2005/1/2 00:00:00,68,2,590.00
412,2005/1/2 00:00:00,46,3,350.00
413,2005/1/2 00:00:00,30,5,380.00
414,2005/1/2 00:00:00,32,7,660.00
415,2005/1/2 00:00:00,51,1,440.00
416,2005/1/2 00:00:00,35,10,350.00
417,2005/1/2 00:00:00,15,8,420.00
418,2005/1/2 00:00:00,25,1,670.00
419,2005/1/2 00:00:00,45,8,300.00
420,2005/1/2 00:00:00,20,6,530.00
421,2005/1/2 00:00:00,5,1,340.00
422,2005/1/2 00:00:00,32,1,660.00
423,2005/1/2 00:00:00,20,1,530.00
424,2005/1/2 00:00:00,70,6,440.00
425,2005/1/2 00:00:00,17,4,410.00
426,2005/1/2 00:00:00,49,9,640.00
427,2005/1/2 00:00:00,42,3,320.00
428,2005/1/2 00:00:00,68,6,590.00
429,2005/1/2 00:00:00,39,3,570.00
430,2005/1/2 00:00:00,27,6,590.00
431,2005/1/2 00:00:00,9,3,550.00
432,2005/1/2 00:00:00,75,8,600.00
433,2005/1/2 00:00:00,10,1,630.00
434,2005/1/2 00:00:00,39,1,570.00
435,2005/1/2 00:00:00,53,9,670.00
436,2005/1/2 00:00:00,82,2,360.00
437,2005/1/2 00:00:00,45,6,300.00
438,2005/1/2 00:00:00,14,9,670.00
439,2005/1/2 00:00:00,11,3,460.00
440,2005/1/2 00:00:00,94,10,690.00
441,2005/1/2 00:00:00,53,8,670.00
442,2005/1/2 00:00:00,44,4,540.00
443,2005/1/2 00:00:00,31,6,560.00
444,2005/1/2 00:00:00,63,10,330.00
445,2005/1/2 00:00:00,19,7,590.00
446,2005/1/2 00:00:00,50,7,400.00
447,2005/1/2 00:00:00,44,4,540.00
448,2005/1/2 00:00:00,30,9,380.00
449,2005/1/2 00:00:00,20,8,530.00
450,2005/1/2 00:00:00,61,9,590.00
451,2005/1/2 00:00:00,51,8,440.00
452,2005/1/2 00:00:00,97,5,700.00
453,2005/1/2 00:00:00,75,4,600.00
454,2005/1/2 00:00:00,95,4,550.00
455,2005/1/2 00:00:00,87,5,620.00
456,2005/1/2 00:00:00,44,2,540.00
457,2005/1/2 00:00:00,40,4,670.00
458,2005/1/2 00:00:00,95,3,550.00
459,2005/1/2 00:00:00,63,7,330.00
460,2005/1/2 00:00:00,83,1,490.00
461,2005/1/2 00:00:00,70,2,440.00
462,2005/1/2 00:00:00,32,9,660.00
463,2005/1/2 00:00:00,72,3,350.00
464,2005/1/2 00:00:00,96,3,660.00
465,2005/1/2 00:00:00,79,2,640.00
466,2005/1/2 00:00:00,3,5,400.00
467,2005/1/2 00:00:00,4,10,430.00
468,2005/1/2 00:00:00,82,8,360.00
469,2005/1/2 00:00:00,10,7,630.00
470,2005/1/2 00:00:00,76,6,380.00
471,2005/1/2 00:00:00,21,8,490.00
472,2005/1/2 00:00:00,83,5,490.00
473,2005/1/2 00:00:00,36,4,380.00
474,2005/1/2 00:00:00,87,1,620.00
475,2005/1/2 00:00:00,19,2,590.00
476,2005/1/2 00:00:00,30,8,380.00
477,2005/1/2 00:00:00,74,9,570.00
478,2005/1/2 00:00:00,13,10,700.00
479,2005/1/2 00:00:00,93,8,540.00
480,2005/1/2 00:00:00,48,4,590.00
481,2005/1/2 00:00:00,41,1,400.00
482,2005/1/2 00:00:00,12,9,600.00
483,2005/1/2 00:00:00,47,3,580.00
484,2005/1/2 00:00:00,43,7,550.00
485,2005/1/2 00:00:00,82,7,360.00
486,2005/1/2 00:00:00,43,1,550.00
487,2005/1/2 00:00:00,25,3,670.00
488,2005/1/2 00:00:00,72,8,350.00
489,2005/1/2 00:00:00,17,7,410.00
490,2005/1/2 00:00:00,88,6,620.00
491,2005/1/2 00:00:00,32,8,660.00
492,2005/1/2 00:00:00,11,1,460.00
493,2005/1/2 00:00:00,83,10,490.00
494,2005/1/2 00:00:00,44,3,540.00
495,2005/1/2 00:00:00,80,2,330.00
496,2005/1/2 00:00:00,54,5,490.00
497,2005/1/2 00:00:00,9,8,550.00
498,2005/1/2 00:00:00,48,8,590.00
499,2005/1/2 00:00:00,30,2,380.00
500,2005/1/2 00:00:00,34,9,410.00
501,2005/1/2 00:00:00,9,2,550.00
502,2005/1/2 00:00:00,98,9,690.00
503,2005/1/2 00:00:00,33,8,590.00
504,2005/1/2 00:00:00,69,6,670.00
505,2005/1/2 00:00:00,7,5,440.00
506,2005/1/2 00:00:00,94,7,690.00
507,2005/1/2 00:00:00,44,1,540.00
508,2005/1/2 00:00:00,53,7,670.00
509,2005/1/2 00:00:00,51,1,440.00
510,2005/1/2 00:00:00,52,8,640.00
511,2005/1/2 00:00:00,92,7,440.00
512,2005/1/2 00:00:00,78,7,570.00
513,2005/1/2 00:00:00,55,2,670.00
514,2005/1/2 00:00:00,98,2,690.00
515,2005/1/2 00:00:00,86,3,360.00
516,2005/1/2 00:00:00,48,4,590.00
517,2005/1/2 00:00:00,66,1,660.00
518,2005/1/2 00:00:00,48,3,590.00
519,2005/1/2 00:00:00,77,10,650.00
520,2005/1/2 00:00:00,86,10,360.00
521,2005/1/2 00:00:00,82,8,360.00
522,2005/1/2 00:00:00,62,4,400.00
523,2005/1/2 00:00:00,44,2,540.00
524,2005/1/2 00:00:00,50,4,400.00
525,2005/1/2 00:00:00,27,7,590.00
526,2005/1/2 00:00:00,46,7,350.00
527,2005/1/2 00:00:00,17,8,410.00
528,2005/1/2 00:00:00,54,5,490.00
529,2005/1/2 00:00:00,3,7,400.00
530,2005/1/2 00:00:00,100,7,520.00
531,2005/1/2 00:00:00,20,7,530.00
532,2005/1/2 00:00:00,78,6,570.00
533,2005/1/2 00:00:00,95,10,550.00
534,2005/1/2 00:00:00,31,10,560.00
535,2005/1/2 00:00:00,16,4,600.00
536,2005/1/2 00:00:00,46,6,350.00
537,2005/1/2 00:00:00,98,6,690.00
538,2005/1/2 00:00:00,42,5,320.00
539,2005/1/2 00:00:00,50,9,400.00
540,2005/1/2 00:00:00,27,9,590.00
541,2005/1/2 00:00:00,78,7,570.00
542,2005/1/2 00:00:00,20,1,530.00
543,2005/1/2 00:00:00,4,5,430.00
544,2005/1/2 00:00:00,17,6,410.00
545,2005/1/2 00:00:00,77,4,650.00
546,2005/1/2 00:00:00,93,7,540.00
547,2005/1/2 00:00:00,53,7,670.00
548,2005/1/2 00:00:00,54,4,490.00
549,2005/1/2 00:00:00,48,4,590.00
550,2005/1/2 00:00:00,26,1,360.00
551,2005/1/2 00:00:00,9,4,550.00
552,2005/1/2 00:00:00,8,7,580.00
553,2005/1/2 00:00:00,7,8,440.00
554,2005/1/2 00:00:00,31,9,560.00
555,2005/1/2 00:00:00,35,8,350.00
556,2005/1/2 00:00:00,60,5,570.00
557,2005/1/2 00:00:00,77,5,650.00
558,2005/1/2 00:00:00,9,7,550.00
559,2005/1/2 00:00:00,81,3,390.00
560,2005/1/2 00:00:00,36,1,380.00
561,2005/1/2 00:00:00,41,2,400.00
562,2005/1/2 00:00:00,79,7,640.00
563,2005/1/2 00:00:00,48,1,590.00
564,2005/1/2 00:00:00,83,8,490.00
565,2005/1/2 00:00:00,91,10,380.00
566,2005/1/2 00:00:00,70,5,440.00
567,2005/1/2 00:00:00,28,9,660.00
568,2005/1/2 00:00:00,88,3,620.00
569,2005/1/2 00:00:00,90,6,500.00
570,2005/1/2 00:00:00,74,3,570.00
571,2005/1/2 00:00:00,61,3,590.00
572,2005/1/2 00:00:00,16,10,600.00
573,2005/1/2 00:00:00,45,10,300.00
574,2005/1/2 00:00:00,29,1,390.00
575,2005/1/2 00:00:00,82,2,360.00
576,2005/1/2 00:00:00,70,4,440.00
577,2005/1/2 00:00:00,17,9,410.00
578,2005/1/2 00:00:00,74,5,570.00
579,2005/1/2 00:00:00,92,6,440.00
580,2005/1/2 00:00:00,39,2,570.00
581,2005/1/2 00:00:00,5,4,340.00
582,2005/1/2 00:00:00,89,3,460.00
583,2005/1/2 00:00:00,46,9,350.00
584,2005/1/2 00:00:00,81,7,390.00
585,2005/1/2 00:00:00,30,5,380.00
586,2005/1/2 00:00:00,5,8,340.00
587,2005/1/2 00:00:00,8,3,580.00
588,2005/1/2 00:00:00,68,5,590.00
589,2005/1/2 00:00:00,80,6,330.00
590,2005/1/2 00:00:00,54,2,490.00
591,2005/1/2 00:00:00,72,8,350.00
592,2005/1/2 00:00:00,97,8,700.00
593,2005/1/2 00:00:00,41,7,400.00
594,2005/1/2 00:00:00,21,6,490.00
595,2005/1/2 00:00:00,20,7,530.00
596,2005/1/2 00:00:00,94,2,690.00
597,2005/1/2 00:00:00,78,5,570.00
598,2005/1/2 00:00:00,33,10,590.00
599,2005/1/2 00:00:00,99,1,530.00
600,2005/1/2 00:00:00,36,3,380.00
601,2005/1/2 00:00:00,49,9,640.00
602,2005/1/2 00:00:00,100,9,520.00
603,2005/1/2 00:00:00,75,4,600.00
604,2005/1/2 00:00:00,69,8,670.00
605,2005/1/2 00:00:00,75,5,600.00
606,2005/1/2 00:00:00,9,7,550.00
