BladeName,Family,D,P,c/R,r/R,beta
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3452,0.75,14.483
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3353,0.8,13.75
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3261,0.85,12.842
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3149,0.9,12.067
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.2777,0.95,11.29
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.1285,1.0,5.704
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.0919,0.15,27.183
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.115,0.2,21.981
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1359,0.25,18.436
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1543,0.3,16.023
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1696,0.35,14.417
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1808,0.4,13.368
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1887,0.45,12.637
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1927,0.5,12.028
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.193,0.55,11.594
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1903,0.6,11.152
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1852,0.65,10.701
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1776,0.7,10.182
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1671,0.75,9.63
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1533,0.8,9.095
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1354,0.85,8.639
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.1126,0.9,8.162
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.0775,0.95,6.756
vp 140.0x45.0,vp,5.511811023622047,1.7716535433070868,0.0091,1.0,0.0
nr640 5x3.16,nr640,5,3.156702054288498,0.1061,0.3,32.091
nr640 5x3.16,nr640,5,3.156702054288498,0.1228,0.35,29.631
nr640 5x3.16,nr640,5,3.156702054288498,0.1382,0.4,27.052
nr640 5x3.16,nr640,5,3.156702054288498,0.1489,0.45,24.286
nr640 5x3.16,nr640,5,3.156702054288498,0.1529,0.5,22.047
nr640 5x3.16,nr640,5,3.156702054288498,0.1513,0.55,20.101
nr640 5x3.16,nr640,5,3.156702054288498,0.1469,0.6,18.497
nr640 5x3.16,nr640,5,3.156702054288498,0.1404,0.65,17.14
nr640 5x3.16,nr640,5,3.156702054288498,0.1328,0.7,16.012
nr640 5x3.16,nr640,5,3.156702054288498,0.123,0.75,15.0
nr640 5x3.16,nr640,5,3.156702054288498,0.1131,0.8,14.193
nr640 5x3.16,nr640,5,3.156702054288498,0.1019,0.85,13.435
nr640 5x3.16,nr640,5,3.156702054288498,0.089,0.9,12.796
nr640 5x3.16,nr640,5,3.156702054288498,0.0753,0.95,12.222
nr640 5x3.16,nr640,5,3.156702054288498,0.0605,1.0,11.662
nr640 5x4.29,nr640,5,4.287923302860214,0.1061,0.3,32.091
nr640 5x4.29,nr640,5,4.287923302860214,0.1228,0.35,29.631
nr640 5x4.29,nr640,5,4.287923302860214,0.1382,0.4,27.052
nr640 5x4.29,nr640,5,4.287923302860214,0.1489,0.45,24.286
nr640 5x4.29,nr640,5,4.287923302860214,0.1529,0.5,22.047
nr640 5x4.29,nr640,5,4.287923302860214,0.1513,0.55,20.101
nr640 5x4.29,nr640,5,4.287923302860214,0.1469,0.6,18.497
nr640 5x4.29,nr640,5,4.287923302860214,0.1404,0.65,17.14
nr640 5x4.29,nr640,5,4.287923302860214,0.1328,0.7,16.012
nr640 5x4.29,nr640,5,4.287923302860214,0.123,0.75,15.0
nr640 5x4.29,nr640,5,4.287923302860214,0.1131,0.8,14.193
nr640 5x4.29,nr640,5,4.287923302860214,0.1019,0.85,13.435
nr640 5x4.29,nr640,5,4.287923302860214,0.089,0.9,12.796
nr640 5x4.29,nr640,5,4.287923302860214,0.0753,0.95,12.222
nr640 5x4.29,nr640,5,4.287923302860214,0.0605,1.0,11.662
nr640 9x5.68,nr640,9,5.682063697719297,0.1061,0.3,32.091
nr640 9x5.68,nr640,9,5.682063697719297,0.1228,0.35,29.631
nr640 9x5.68,nr640,9,5.682063697719297,0.1382,0.4,27.052
nr640 9x5.68,nr640,9,5.682063697719297,0.1489,0.45,24.286
nr640 9x5.68,nr640,9,5.682063697719297,0.1529,0.5,22.047
nr640 9x5.68,nr640,9,5.682063697719297,0.1513,0.55,20.101
nr640 9x5.68,nr640,9,5.682063697719297,0.1469,0.6,18.497
nr640 9x5.68,nr640,9,5.682063697719297,0.1404,0.65,17.14
nr640 9x5.68,nr640,9,5.682063697719297,0.1328,0.7,16.012
nr640 9x5.68,nr640,9,5.682063697719297,0.123,0.75,15.0
nr640 9x5.68,nr640,9,5.682063697719297,0.1131,0.8,14.193
nr640 9x5.68,nr640,9,5.682063697719297,0.1019,0.85,13.435
nr640 9x5.68,nr640,9,5.682063697719297,0.089,0.9,12.796
nr640 9x5.68,nr640,9,5.682063697719297,0.0753,0.95,12.222
nr640 9x5.68,nr640,9,5.682063697719297,0.0605,1.0,11.662
nr640 9x7.72,nr640,9,7.718261945148386,0.1061,0.3,32.091
nr640 9x7.72,nr640,9,7.718261945148386,0.1228,0.35,29.631
nr640 9x7.72,nr640,9,7.718261945148386,0.1382,0.4,27.052
nr640 9x7.72,nr640,9,7.718261945148386,0.1489,0.45,24.286
nr640 9x7.72,nr640,9,7.718261945148386,0.1529,0.5,22.047
nr640 9x7.72,nr640,9,7.718261945148386,0.1513,0.55,20.101
nr640 9x7.72,nr640,9,7.718261945148386,0.1469,0.6,18.497
nr640 9x7.72,nr640,9,7.718261945148386,0.1404,0.65,17.14
nr640 9x7.72,nr640,9,7.718261945148386,0.1328,0.7,16.012
nr640 9x7.72,nr640,9,7.718261945148386,0.123,0.75,15.0
nr640 9x7.72,nr640,9,7.718261945148386,0.1131,0.8,14.193
nr640 9x7.72,nr640,9,7.718261945148386,0.1019,0.85,13.435
nr640 9x7.72,nr640,9,7.718261945148386,0.089,0.9,12.796
nr640 9x7.72,nr640,9,7.718261945148386,0.0753,0.95,12.222
nr640 9x7.72,nr640,9,7.718261945148386,0.0605,1.0,11.662
union 9x7.72,union,9,7.718261945148386,0.1644,0.15,40.279
union 9x7.72,union,9,7.718261945148386,0.1774,0.2,36.776
union 9x7.72,union,9,7.718261945148386,0.1965,0.25,32.758
union 9x7.72,union,9,7.718261945148386,0.2208,0.3,28.719
union 9x7.72,union,9,7.718261945148386,0.2444,0.35,25.587
union 9x7.72,union,9,7.718261945148386,0.2635,0.4,23.506
union 9x7.72,union,9,7.718261945148386,0.2773,0.45,22.084
union 9x7.72,union,9,7.718261945148386,0.2855,0.5,20.98
union 9x7.72,union,9,7.718261945148386,0.2902,0.55,19.841
union 9x7.72,union,9,7.718261945148386,0.2926,0.6,18.549
union 9x7.72,union,9,7.718261945148386,0.2917,0.65,17.227
union 9x7.72,union,9,7.718261945148386,0.288,0.7,16.006
union 9x7.72,union,9,7.718261945148386,0.2823,0.75,14.796
union 9x7.72,union,9,7.718261945148386,0.2752,0.8,13.576
union 9x7.72,union,9,7.718261945148386,0.2668,0.85,12.258
union 9x7.72,union,9,7.718261945148386,0.2567,0.9,10.807
union 9x7.72,union,9,7.718261945148386,0.2182,0.95,8.551
union 9x7.72,union,9,7.718261945148386,0.0964,1.0,2.932
