BladeName,Family,D,P,c/R,r/R,beta
apce 11.0x8.5,apce,11.0,8.5,0.041,1.0,13.06
apce 11.0x8.0,apce,11.0,8.0,0.127,0.15,44.62
apce 11.0x8.0,apce,11.0,8.0,0.146,0.2,50.28
apce 11.0x8.0,apce,11.0,8.0,0.164,0.25,44.89
apce 11.0x8.0,apce,11.0,8.0,0.178,0.3,38.98
apce 11.0x8.0,apce,11.0,8.0,0.187,0.35,34.3
apce 11.0x8.0,apce,11.0,8.0,0.19,0.4,30.54
apce 11.0x8.0,apce,11.0,8.0,0.19,0.45,27.47
apce 11.0x8.0,apce,11.0,8.0,0.185,0.5,25.01
apce 11.0x8.0,apce,11.0,8.0,0.176,0.55,23.02
apce 11.0x8.0,apce,11.0,8.0,0.165,0.6,21.3
apce 11.0x8.0,apce,11.0,8.0,0.152,0.65,19.82
apce 11.0x8.0,apce,11.0,8.0,0.138,0.7,18.53
apce 11.0x8.0,apce,11.0,8.0,0.123,0.75,17.3
apce 11.0x8.0,apce,11.0,8.0,0.107,0.8,16.23
apce 11.0x8.0,apce,11.0,8.0,0.092,0.85,15.17
apce 11.0x8.0,apce,11.0,8.0,0.078,0.9,14.37
apce 11.0x8.0,apce,11.0,8.0,0.059,0.95,13.49
apce 11.0x8.0,apce,11.0,8.0,0.039,1.0,12.6
apce 14.0x12.0,apce,14.0,12.0,0.109,0.15,53.88
apce 14.0x12.0,apce,14.0,12.0,0.127,0.2,54.6
apce 14.0x12.0,apce,14.0,12.0,0.142,0.25,49.63
apce 14.0x12.0,apce,14.0,12.0,0.153,0.3,43.66
apce 14.0x12.0,apce,14.0,12.0,0.16,0.35,38.79
apce 14.0x12.0,apce,14.0,12.0,0.162,0.4,34.7
apce 14.0x12.0,apce,14.0,12.0,0.161,0.45,31.36
apce 14.0x12.0,apce,14.0,12.0,0.156,0.5,28.62
apce 14.0x12.0,apce,14.0,12.0,0.149,0.55,26.21
apce 14.0x12.0,apce,14.0,12.0,0.139,0.6,24.26
apce 14.0x12.0,apce,14.0,12.0,0.128,0.65,22.64
apce 14.0x12.0,apce,14.0,12.0,0.116,0.7,21.07
apce 14.0x12.0,apce,14.0,12.0,0.103,0.75,19.55
apce 14.0x12.0,apce,14.0,12.0,0.09,0.8,18.27
apce 14.0x12.0,apce,14.0,12.0,0.077,0.85,17.21
apce 14.0x12.0,apce,14.0,12.0,0.066,0.9,16.54
apce 14.0x12.0,apce,14.0,12.0,0.051,0.95,14.29
apce 14.0x12.0,apce,14.0,12.0,0.036,1.0,11.88
apce 17.0x12.0,apce,17.0,12.0,0.11,0.15,31.63
apce 17.0x12.0,apce,17.0,12.0,0.123,0.2,40.01
apce 17.0x12.0,apce,17.0,12.0,0.138,0.25,42.77
apce 17.0x12.0,apce,17.0,12.0,0.149,0.3,39.88
apce 17.0x12.0,apce,17.0,12.0,0.156,0.35,35.26
apce 17.0x12.0,apce,17.0,12.0,0.159,0.4,31.25
apce 17.0x12.0,apce,17.0,12.0,0.158,0.45,27.97
apce 17.0x12.0,apce,17.0,12.0,0.154,0.5,25.32
apce 17.0x12.0,apce,17.0,12.0,0.148,0.55,23.11
apce 17.0x12.0,apce,17.0,12.0,0.139,0.6,21.21
apce 17.0x12.0,apce,17.0,12.0,0.129,0.65,19.58
apce 17.0x12.0,apce,17.0,12.0,0.117,0.7,18.33
apce 17.0x12.0,apce,17.0,12.0,0.104,0.75,17.35
apce 17.0x12.0,apce,17.0,12.0,0.092,0.8,16.57
apce 17.0x12.0,apce,17.0,12.0,0.08,0.85,15.86
apce 17.0x12.0,apce,17.0,12.0,0.068,0.9,15.36
apce 17.0x12.0,apce,17.0,12.0,0.053,0.95,14.81
apce 17.0x12.0,apce,17.0,12.0,0.038,1.0,14.25
apce 19.0x12.0,apce,19.0,12.0,0.112,0.15,34.11
apce 19.0x12.0,apce,19.0,12.0,0.126,0.2,42.88
apce 19.0x12.0,apce,19.0,12.0,0.141,0.25,40.83
apce 19.0x12.0,apce,19.0,12.0,0.152,0.3,35.05
apce 19.0x12.0,apce,19.0,12.0,0.158,0.35,30.43
apce 19.0x12.0,apce,19.0,12.0,0.16,0.4,26.83
apce 19.0x12.0,apce,19.0,12.0,0.159,0.45,23.97
apce 19.0x12.0,apce,19.0,12.0,0.154,0.5,21.64
apce 19.0x12.0,apce,19.0,12.0,0.147,0.55,19.73
apce 19.0x12.0,apce,19.0,12.0,0.138,0.6,17.93
apce 19.0x12.0,apce,19.0,12.0,0.127,0.65,16.26
apce 19.0x12.0,apce,19.0,12.0,0.114,0.7,14.95
apce 19.0x12.0,apce,19.0,12.0,0.102,0.75,13.81
apce 19.0x12.0,apce,19.0,12.0,0.089,0.8,12.98
apce 19.0x12.0,apce,19.0,12.0,0.077,0.85,12.19
apce 19.0x12.0,apce,19.0,12.0,0.065,0.9,11.81
apce 19.0x12.0,apce,19.0,12.0,0.049,0.95,11.25
apce 19.0x12.0,apce,19.0,12.0,0.032,1.0,10.66
apce 9.0x4.5,apce,9.0,4.5,0.157,0.15,34.8
apce 9.0x4.5,apce,9.0,4.5,0.163,0.2,36.5
apce 9.0x4.5,apce,9.0,4.5,0.187,0.25,34.26
apce 9.0x4.5,apce,9.0,4.5,0.206,0.3,29.64
apce 9.0x4.5,apce,9.0,4.5,0.217,0.35,25.62
apce 9.0x4.5,apce,9.0,4.5,0.222,0.4,22.53
apce 9.0x4.5,apce,9.0,4.5,0.222,0.45,20.25
apce 9.0x4.5,apce,9.0,4.5,0.217,0.5,18.37
apce 9.0x4.5,apce,9.0,4.5,0.209,0.55,16.83
apce 9.0x4.5,apce,9.0,4.5,0.197,0.6,15.51
apce 9.0x4.5,apce,9.0,4.5,0.183,0.65,14.38
apce 9.0x4.5,apce,9.0,4.5,0.167,0.7,13.45
apce 9.0x4.5,apce,9.0,4.5,0.15,0.75,12.56
apce 9.0x4.5,apce,9.0,4.5,0.133,0.8,12.09
apce 9.0x4.5,apce,9.0,4.5,0.116,0.85,11.25
apce 9.0x4.5,apce,9.0,4.5,0.099,0.9,10.46
apce 9.0x4.5,apce,9.0,4.5,0.074,0.95,9.68
apce 9.0x4.5,apce,9.0,4.5,0.049,1.0,8.9
apce 9.0x6.0,apce,9.0,6.0,0.141,0.15,31.67
apce 9.0x6.0,apce,9.0,6.0,0.147,0.2,37.59
apce 9.0x6.0,apce,9.0,6.0,0.183,0.25,38.78
apce 9.0x6.0,apce,9.0,6.0,0.207,0.3,35.9
apce 9.0x6.0,apce,9.0,6.0,0.218,0.35,32.07
apce 9.0x6.0,apce,9.0,6.0,0.223,0.4,28.5
apce 9.0x6.0,apce,9.0,6.0,0.222,0.45,25.81
apce 9.0x6.0,apce,9.0,6.0,0.217,0.5,23.58
apce 9.0x6.0,apce,9.0,6.0,0.209,0.55,21.66
apce 9.0x6.0,apce,9.0,6.0,0.197,0.6,19.99
apce 9.0x6.0,apce,9.0,6.0,0.183,0.65,18.58
apce 9.0x6.0,apce,9.0,6.0,0.167,0.7,17.29
apce 9.0x6.0,apce,9.0,6.0,0.15,0.75,16.37
apce 9.0x6.0,apce,9.0,6.0,0.132,0.8,15.46
apce 9.0x6.0,apce,9.0,6.0,0.114,0.85,14.3
apce 9.0x6.0,apce,9.0,6.0,0.098,0.9,13.4
apce 9.0x6.0,apce,9.0,6.0,0.075,0.95,12.02
apce 9.0x6.0,apce,9.0,6.0,0.051,1.0,10.61
apcsf 10.0x4.7,apcsf,10.0,4.7,0.109,0.15,21.11
apcsf 10.0x4.7,apcsf,10.0,4.7,0.132,0.2,23.9
apcsf 10.0x4.7,apcsf,10.0,4.7,0.156,0.25,24.65
apcsf 10.0x4.7,apcsf,10.0,4.7,0.176,0.3,24.11
apcsf 10.0x4.7,apcsf,10.0,4.7,0.193,0.35,22.78
apcsf 10.0x4.7,apcsf,10.0,4.7,0.206,0.4,21.01
apcsf 10.0x4.7,apcsf,10.0,4.7,0.216,0.45,19.0
apcsf 10.0x4.7,apcsf,10.0,4.7,0.223,0.5,17.06
apcsf 10.0x4.7,apcsf,10.0,4.7,0.226,0.55,15.33
apcsf 10.0x4.7,apcsf,10.0,4.7,0.225,0.6,13.82
apcsf 10.0x4.7,apcsf,10.0,4.7,0.219,0.65,12.51
apcsf 10.0x4.7,apcsf,10.0,4.7,0.21,0.7,11.36
apcsf 10.0x4.7,apcsf,10.0,4.7,0.197,0.75,10.27
apcsf 10.0x4.7,apcsf,10.0,4.7,0.179,0.8,9.32
apcsf 10.0x4.7,apcsf,10.0,4.7,0.157,0.85,8.36
apcsf 10.0x4.7,apcsf,10.0,4.7,0.13,0.9,7.27
apcsf 10.0x4.7,apcsf,10.0,4.7,0.087,0.95,6.15
apcsf 10.0x4.7,apcsf,10.0,4.7,0.042,1.0,5.04
apcsf 10.0x7.0,apcsf,10.0,7.0,0.109,0.15,34.86
apcsf 10.0x7.0,apcsf,10.0,7.0,0.132,0.2,37.6
apcsf 10.0x7.0,apcsf,10.0,7.0,0.155,0.25,36.15
apcsf 10.0x7.0,apcsf,10.0,7.0,0.175,0.3,33.87
apcsf 10.0x7.0,apcsf,10.0,7.0,0.192,0.35,31.25
apcsf 10.0x7.0,apcsf,10.0,7.0,0.206,0.4,28.48
apcsf 10.0x7.0,apcsf,10.0,7.0,0.216,0.45,25.6
apcsf 10.0x7.0,apcsf,10.0,7.0,0.222,0.5,22.79
apcsf 10.0x7.0,apcsf,10.0,7.0,0.225,0.55,20.49
apcsf 10.0x7.0,apcsf,10.0,7.0,0.224,0.6,18.7
apcsf 10.0x7.0,apcsf,10.0,7.0,0.219,0.65,17.14
apcsf 10.0x7.0,apcsf,10.0,7.0,0.21,0.7,15.64
apcsf 10.0x7.0,apcsf,10.0,7.0,0.197,0.75,14.38
apcsf 10.0x7.0,apcsf,10.0,7.0,0.18,0.8,13.11
apcsf 10.0x7.0,apcsf,10.0,7.0,0.159,0.85,11.83
apcsf 10.0x7.0,apcsf,10.0,7.0,0.133,0.9,10.65
apcsf 10.0x7.0,apcsf,10.0,7.0,0.092,0.95,9.53
apcsf 10.0x7.0,apcsf,10.0,7.0,0.049,1.0,8.43
apcsf 11.0x3.8,apcsf,11.0,3.8,0.112,0.15,33.43
apcsf 11.0x3.8,apcsf,11.0,3.8,0.135,0.2,31.77
apcsf 11.0x3.8,apcsf,11.0,3.8,0.157,0.25,26.41
apcsf 11.0x3.8,apcsf,11.0,3.8,0.177,0.3,21.94
apcsf 11.0x3.8,apcsf,11.0,3.8,0.194,0.35,18.66
apcsf 11.0x3.8,apcsf,11.0,3.8,0.208,0.4,16.16
apcsf 11.0x3.8,apcsf,11.0,3.8,0.218,0.45,14.19
apcsf 11.0x3.8,apcsf,11.0,3.8,0.225,0.5,12.62
apcsf 11.0x3.8,apcsf,11.0,3.8,0.228,0.55,11.31
apcsf 11.0x3.8,apcsf,11.0,3.8,0.227,0.6,10.19
apcsf 11.0x3.8,apcsf,11.0,3.8,0.222,0.65,9.23
apcsf 11.0x3.8,apcsf,11.0,3.8,0.214,0.7,8.3
apcsf 11.0x3.8,apcsf,11.0,3.8,0.202,0.75,7.43
apcsf 11.0x3.8,apcsf,11.0,3.8,0.185,0.8,6.65
apcsf 11.0x3.8,apcsf,11.0,3.8,0.165,0.85,6.11
apcsf 11.0x3.8,apcsf,11.0,3.8,0.14,0.9,5.65
apcsf 11.0x3.8,apcsf,11.0,3.8,0.1,0.95,5.47
apcsf 11.0x3.8,apcsf,11.0,3.8,0.06,1.0,5.31
apcsf 11.0x4.7,apcsf,11.0,4.7,0.112,0.15,19.64
apcsf 11.0x4.7,apcsf,11.0,4.7,0.137,0.2,21.81
apcsf 11.0x4.7,apcsf,11.0,4.7,0.16,0.25,22.45
apcsf 11.0x4.7,apcsf,11.0,4.7,0.181,0.3,21.88
apcsf 11.0x4.7,apcsf,11.0,4.7,0.198,0.35,20.73
apcsf 11.0x4.7,apcsf,11.0,4.7,0.211,0.4,19.14
apcsf 11.0x4.7,apcsf,11.0,4.7,0.221,0.45,17.3
apcsf 11.0x4.7,apcsf,11.0,4.7,0.227,0.5,15.58
apcsf 11.0x4.7,apcsf,11.0,4.7,0.23,0.55,14.06
apcsf 11.0x4.7,apcsf,11.0,4.7,0.228,0.6,12.71
apcsf 11.0x4.7,apcsf,11.0,4.7,0.222,0.65,11.53
apcsf 11.0x4.7,apcsf,11.0,4.7,0.213,0.7,10.47
apcsf 11.0x4.7,apcsf,11.0,4.7,0.199,0.75,9.53
apcsf 11.0x4.7,apcsf,11.0,4.7,0.181,0.8,8.63
apcsf 11.0x4.7,apcsf,11.0,4.7,0.158,0.85,7.71
apcsf 11.0x4.7,apcsf,11.0,4.7,0.132,0.9,6.61
apcsf 11.0x4.7,apcsf,11.0,4.7,0.084,0.95,5.28
apcsf 11.0x4.7,apcsf,11.0,4.7,0.035,1.0,3.93
apcsf 11.0x7.0,apcsf,11.0,7.0,0.114,0.15,28.24
apcsf 11.0x7.0,apcsf,11.0,7.0,0.134,0.2,31.87
apcsf 11.0x7.0,apcsf,11.0,7.0,0.157,0.25,32.26
apcsf 11.0x7.0,apcsf,11.0,7.0,0.177,0.3,31.32
apcsf 11.0x7.0,apcsf,11.0,7.0,0.194,0.35,29.65
apcsf 11.0x7.0,apcsf,11.0,7.0,0.208,0.4,27.57
apcsf 11.0x7.0,apcsf,11.0,7.0,0.218,0.45,25.24
apcsf 11.0x7.0,apcsf,11.0,7.0,0.225,0.5,22.97
apcsf 11.0x7.0,apcsf,11.0,7.0,0.228,0.55,20.94
apcsf 11.0x7.0,apcsf,11.0,7.0,0.228,0.6,19.19
apcsf 11.0x7.0,apcsf,11.0,7.0,0.223,0.65,17.69
apcsf 11.0x7.0,apcsf,11.0,7.0,0.214,0.7,16.31
apcsf 11.0x7.0,apcsf,11.0,7.0,0.202,0.75,15.07
apcsf 11.0x7.0,apcsf,11.0,7.0,0.185,0.8,13.94
apcsf 11.0x7.0,apcsf,11.0,7.0,0.165,0.85,12.89
apcsf 11.0x7.0,apcsf,11.0,7.0,0.139,0.9,11.86
apcsf 11.0x7.0,apcsf,11.0,7.0,0.1,0.95,11.04
apcsf 11.0x7.0,apcsf,11.0,7.0,0.06,1.0,10.23
apcsf 9.0x4.7,apcsf,9.0,4.7,0.127,0.15,27.54
apcsf 9.0x4.7,apcsf,9.0,4.7,0.135,0.2,25.28
apcsf 9.0x4.7,apcsf,9.0,4.7,0.158,0.25,26.08
apcsf 9.0x4.7,apcsf,9.0,4.7,0.178,0.3,25.47
apcsf 9.0x4.7,apcsf,9.0,4.7,0.195,0.35,24.07
apcsf 9.0x4.7,apcsf,9.0,4.7,0.209,0.4,22.18
apcsf 9.0x4.7,apcsf,9.0,4.7,0.219,0.45,20.0
apcsf 9.0x4.7,apcsf,9.0,4.7,0.225,0.5,18.18
apcsf 9.0x4.7,apcsf,9.0,4.7,0.227,0.55,16.38
apcsf 9.0x4.7,apcsf,9.0,4.7,0.226,0.6,14.83
apcsf 9.0x4.7,apcsf,9.0,4.7,0.221,0.65,13.63
apcsf 9.0x4.7,apcsf,9.0,4.7,0.212,0.7,12.56
apcsf 9.0x4.7,apcsf,9.0,4.7,0.199,0.75,11.56
apcsf 9.0x4.7,apcsf,9.0,4.7,0.182,0.8,10.65
apcsf 9.0x4.7,apcsf,9.0,4.7,0.161,0.85,9.68
apcsf 9.0x4.7,apcsf,9.0,4.7,0.135,0.9,8.51
apcsf 9.0x4.7,apcsf,9.0,4.7,0.097,0.95,6.72
apcsf 9.0x4.7,apcsf,9.0,4.7,0.058,1.0,4.89
apcsf 9.0x6.0,apcsf,9.0,6.0,0.122,0.15,37.73
apcsf 9.0x6.0,apcsf,9.0,6.0,0.133,0.2,39.74
apcsf 9.0x6.0,apcsf,9.0,6.0,0.156,0.25,36.96
apcsf 9.0x6.0,apcsf,9.0,6.0,0.176,0.3,33.71
apcsf 9.0x6.0,apcsf,9.0,6.0,0.193,0.35,30.82
apcsf 9.0x6.0,apcsf,9.0,6.0,0.207,0.4,28.05
apcsf 9.0x6.0,apcsf,9.0,6.0,0.218,0.45,25.25
apcsf 9.0x6.0,apcsf,9.0,6.0,0.225,0.5,22.79
apcsf 9.0x6.0,apcsf,9.0,6.0,0.227,0.55,20.71
apcsf 9.0x6.0,apcsf,9.0,6.0,0.227,0.6,18.88
apcsf 9.0x6.0,apcsf,9.0,6.0,0.222,0.65,17.24
apcsf 9.0x6.0,apcsf,9.0,6.0,0.214,0.7,15.79
apcsf 9.0x6.0,apcsf,9.0,6.0,0.201,0.75,14.54
apcsf 9.0x6.0,apcsf,9.0,6.0,0.183,0.8,13.4
apcsf 9.0x6.0,apcsf,9.0,6.0,0.162,0.85,12.3
apcsf 9.0x6.0,apcsf,9.0,6.0,0.136,0.9,11.4
apcsf 9.0x6.0,apcsf,9.0,6.0,0.097,0.95,10.33
apcsf 9.0x6.0,apcsf,9.0,6.0,0.056,1.0,9.26
apcsp 10.0x6.0,apcsp,10.0,6.0,0.169,0.15,31.55
apcsp 10.0x6.0,apcsp,10.0,6.0,0.161,0.2,37.27
apcsp 10.0x6.0,apcsp,10.0,6.0,0.157,0.25,39.26
apcsp 10.0x6.0,apcsp,10.0,6.0,0.153,0.3,36.43
apcsp 10.0x6.0,apcsp,10.0,6.0,0.152,0.35,33.01
apcsp 10.0x6.0,apcsp,10.0,6.0,0.154,0.4,29.56
apcsp 10.0x6.0,apcsp,10.0,6.0,0.157,0.45,26.23
apcsp 10.0x6.0,apcsp,10.0,6.0,0.161,0.5,23.58
apcsp 10.0x6.0,apcsp,10.0,6.0,0.164,0.55,21.48
apcsp 10.0x6.0,apcsp,10.0,6.0,0.166,0.6,19.76
apcsp 10.0x6.0,apcsp,10.0,6.0,0.166,0.65,18.32
apcsp 10.0x6.0,apcsp,10.0,6.0,0.162,0.7,17.05
apcsp 10.0x6.0,apcsp,10.0,6.0,0.154,0.75,15.74
apcsp 10.0x6.0,apcsp,10.0,6.0,0.14,0.8,14.5
apcsp 10.0x6.0,apcsp,10.0,6.0,0.121,0.85,13.58
apcsp 10.0x6.0,apcsp,10.0,6.0,0.094,0.9,12.45
apcsp 10.0x6.0,apcsp,10.0,6.0,0.057,0.95,10.75
apcsp 10.0x6.0,apcsp,10.0,6.0,0.019,1.0,9.0
apcsp 10.0x8.0,apcsp,10.0,8.0,0.163,0.15,34.08
apcsp 10.0x8.0,apcsp,10.0,8.0,0.154,0.2,42.1
apcsp 10.0x8.0,apcsp,10.0,8.0,0.151,0.25,45.25
apcsp 10.0x8.0,apcsp,10.0,8.0,0.147,0.3,42.3
apcsp 10.0x8.0,apcsp,10.0,8.0,0.146,0.35,38.2
apcsp 10.0x8.0,apcsp,10.0,8.0,0.149,0.4,34.22
apcsp 10.0x8.0,apcsp,10.0,8.0,0.155,0.45,30.8
apcsp 10.0x8.0,apcsp,10.0,8.0,0.16,0.5,27.93
apcsp 10.0x8.0,apcsp,10.0,8.0,0.164,0.55,25.43
apcsp 10.0x8.0,apcsp,10.0,8.0,0.167,0.6,23.38
apcsp 10.0x8.0,apcsp,10.0,8.0,0.166,0.65,21.63
